"","Treat","state_node","node_id","layer_id","module","type","k_total","k_m","z_score","c_score","role"
"74","NI",74,"sp2",1,12,"Pol",5,1,-0.340801531641259,0.8,"connector"
"75","NI",75,"sp20",1,8,"Pol",1,1,-0.243975018237133,0,"peripheral"
"76","NI",76,"sp21",1,14,"Pol",7,2,0.408248290463863,0.775510204081633,"connector"
"77","NI",77,"sp23",1,17,"Pol",1,1,-0.408248290463863,0,"peripheral"
"78","NI",78,"sp25",1,11,"Pol",1,1,-0.447213595499958,0,"peripheral"
"79","NI",79,"sp26",1,3,"Pol",17,4,0.776114000116266,0.878892733564014,"connector"
"80","NI",80,"sp27",1,11,"Pol",10,1,-0.447213595499958,0.8,"connector"
"81","NI",81,"sp28",1,5,"Pol",2,1,-0.629342524459685,0.5,"peripheral"
"82","NI",82,"sp29",1,12,"Pol",2,1,-0.340801531641259,0.5,"peripheral"
"83","NI",83,"sp3",1,4,"Pol",7,1,-0.270030862433661,0.857142857142857,"connector"
"84","NI",84,"sp30",1,5,"Pol",1,1,-0.629342524459685,0,"peripheral"
"85","NI",85,"sp31",1,1,"Pol",1,1,-0.612372435695794,0,"peripheral"
"86","NI",86,"sp32",1,14,"Pol",1,1,-0.816496580927726,0,"peripheral"
"87","NI",87,"sp33",1,11,"Pol",1,1,-0.447213595499958,0,"peripheral"
"88","NI",88,"sp34",1,17,"Pol",1,1,-0.408248290463863,0,"peripheral"
"89","NI",89,"sp37",1,16,"Pol",2,1,-0.447213595499958,0.5,"peripheral"
"90","NI",90,"sp39",1,7,"Pol",2,2,0.0644035167622265,0,"peripheral"
"91","NI",91,"sp4",1,12,"Pol",4,1,-0.340801531641259,0.75,"connector"
"92","NI",92,"sp41",1,16,"Pol",3,1,-0.447213595499958,0.666666666666667,"connector"
"93","NI",93,"sp42",1,7,"Pol",7,1,-0.322017583811132,0.693877551020408,"connector"
"94","NI",94,"sp43",1,8,"Pol",1,1,-0.243975018237133,0,"peripheral"
"95","NI",95,"sp45",1,3,"Pol",3,1,-0.679099750101732,0.666666666666667,"connector"
"96","NI",96,"sp46",1,1,"Pol",13,3,0.612372435695794,0.781065088757396,"connector"
"97","NI",97,"sp47",1,10,"Pol",12,1,-0.5,0.847222222222222,"connector"
"98","NI",98,"sp48",1,3,"Pol",1,1,-0.679099750101732,0,"peripheral"
"99","NI",99,"sp49",1,9,"Pol",3,1,0,0.666666666666667,"connector"
"100","NI",100,"sp5",1,4,"Pol",2,1,-0.270030862433661,0.5,"peripheral"
"101","NI",101,"sp50",1,15,"Pol",2,1,-0.645497224367903,0.5,"peripheral"
"102","NI",102,"sp51",1,15,"Pol",5,3,1.29099444873581,0.56,"peripheral"
"103","NI",103,"sp52",1,3,"Pol",1,1,-0.679099750101732,0,"peripheral"
"104","NI",104,"sp53",1,3,"Pol",4,4,0.776114000116266,0,"peripheral"
"105","NI",105,"sp54",1,3,"Pol",2,2,-0.194028500029066,0,"peripheral"
"106","NI",106,"sp55",1,7,"Pol",2,1,-0.322017583811132,0.5,"peripheral"
"107","NI",107,"sp56",1,13,"Pol",3,1,-0.670820393249937,0.666666666666667,"connector"
"108","NI",108,"sp57",1,1,"Pol",1,1,-0.612372435695794,0,"peripheral"
"109","NI",109,"sp58",1,3,"Pol",1,1,-0.679099750101732,0,"peripheral"
"110","NI",110,"sp6",1,12,"Pol",1,1,-0.340801531641259,0,"peripheral"
"111","NI",111,"sp60",1,5,"Pol",7,1,-0.629342524459685,0.816326530612245,"connector"
"112","NI",112,"sp61",1,8,"Pol",2,1,-0.243975018237133,0.5,"peripheral"
"113","NI",113,"sp62",1,3,"Pol",1,1,-0.679099750101732,0,"peripheral"
"114","NI",114,"sp63",1,18,"Pol",2,1,NA,0.5,"peripheral"
"115","NI",115,"sp64",1,9,"Pol",1,1,0,0,"peripheral"
"116","NI",116,"sp65",1,7,"Pol",2,1,-0.322017583811132,0.5,"peripheral"
"117","NI",117,"sp66",1,14,"Pol",1,1,-0.816496580927726,0,"peripheral"
"118","NI",118,"sp67",1,7,"Pol",1,1,-0.322017583811132,0,"peripheral"
"119","NI",119,"sp7",1,12,"Pol",1,1,-0.340801531641259,0,"peripheral"
"120","NI",120,"sp70",1,17,"Pol",4,1,-0.408248290463863,0.75,"connector"
"121","NI",121,"sp72",1,3,"Pol",1,1,-0.679099750101732,0,"peripheral"
"122","NI",122,"sp73",1,7,"Pol",3,1,-0.322017583811132,0.666666666666667,"connector"
"123","NI",123,"sp76",1,7,"Pol",1,1,-0.322017583811132,0,"peripheral"
"124","NI",124,"sp8",1,12,"Pol",1,1,-0.340801531641259,0,"peripheral"
"125","NI",125,"sp82",1,4,"Pol",2,1,-0.270030862433661,0.5,"peripheral"
"126","NI",126,"sp83",1,4,"Pol",2,1,-0.270030862433661,0.5,"peripheral"
"127","NI",127,"sp84",1,12,"Pol",1,1,-0.340801531641259,0,"peripheral"
"128","NI",128,"sp85",1,4,"Pol",1,1,-0.270030862433661,0,"peripheral"
"129","NI",129,"sp87",1,1,"Pol",1,1,-0.612372435695794,0,"peripheral"
"130","NI",130,"sp88",1,1,"Pol",1,1,-0.612372435695794,0,"peripheral"
"131","NI",131,"sp9",1,12,"Pol",3,1,-0.340801531641259,0.666666666666667,"connector"
"132","NI",132,"sp90",1,13,"Pol",7,2,0.447213595499958,0.775510204081633,"connector"
"133","NI",133,"sp91",1,1,"Pol",5,2,0,0.72,"connector"
"134","NI",134,"sp94",1,5,"Pol",2,1,-0.629342524459685,0.5,"peripheral"
"135","NI",135,"sp95",1,1,"Pol",2,1,-0.612372435695794,0.5,"peripheral"
"136","NI",136,"sp96",1,3,"Pol",1,1,-0.679099750101732,0,"peripheral"
"137","NI",137,"sp97",1,10,"Pol",3,1,-0.5,0.666666666666667,"connector"
"138","NI",138,"sp99",1,17,"Pol",3,1,-0.408248290463863,0.444444444444444,"peripheral"
"139","NI",139,"Ves_chi",1,5,"Pol",1,1,-0.629342524459685,0,"peripheral"
"140","NI",140,"Ves_ger",1,11,"Pol",6,1,-0.447213595499958,0.833333333333333,"connector"
"141","NI",141,"Aph_spi",2,1,"Disp",3,2,0,0.444444444444444,"peripheral"
"142","NI",142,"Dro_gli",2,2,"Disp",7,3,1.5,0.693877551020408,"connector"
"143","NI",143,"Ela_alb",2,1,"Disp",6,3,0.612372435695794,0.666666666666667,"connector"
"144","NI",144,"Tur_fal",2,3,"Disp",2,1,-0.679099750101732,0.5,"peripheral"
"145","I",1,"Aca_ova",1,11,"Plant",1,1,NA,0,"peripheral"
"146","I",2,"Als_aur",1,4,"Plant",12,6,1.92370941015966,0.680555555555556,"connector"
"147","I",3,"Ari_chi",1,1,"Plant",15,7,1.80186549212481,0.72,"connector"
"148","I",4,"Ari_chi",2,1,"Plant",3,3,0.265849007034808,0,"peripheral"
"149","I",5,"Aza_mic",2,1,"Plant",3,3,0.265849007034808,0,"peripheral"
"150","I",6,"Ber_dar",1,2,"Plant",13,3,1.61023512036508,0.804733727810651,"connector"
"151","I",7,"Ber_dar",2,2,"Plant",1,0,-1.4638501094228,0,"peripheral"
"152","I",8,"Ber_mic",1,2,"Plant",4,2,0.58554004376912,0.625,"connector"
"153","I",9,"Cir_vul",1,9,"Plant",4,1,NA,0.75,"connector"
"154","I",10,"Cod_les",1,7,"Plant",3,2,0.256776295506548,0.444444444444444,"peripheral"
"155","I",11,"Das_dia",1,5,"Plant",9,6,1.29044057430021,0.493827160493827,"peripheral"
"156","I",12,"Emb_coc",1,3,"Plant",11,4,1.87082869338697,0.793388429752066,"connector"
"157","I",13,"Fuc_mag",1,3,"Plant",2,2,0,0,"peripheral"
"158","I",14,"Gau_muc",1,1,"Plant",3,1,-0.502159235510192,0.666666666666667,"connector"
"159","I",15,"Gau_muc",2,1,"Plant",1,1,-0.502159235510192,0,"peripheral"
"160","I",16,"Ger_mag",1,8,"Plant",7,4,1.78885438199983,0.612244897959184,"peripheral"
"161","I",17,"Lum_api",1,5,"Plant",20,13,3.73181463378709,0.54,"module hub"
"162","I",18,"May_boa",2,1,"Plant",1,1,-0.502159235510192,0,"peripheral"
"163","I",19,"Mut_spi",1,4,"Plant",15,6,1.92370941015966,0.737777777777778,"connector"
"164","I",20,"Osm_chi",1,5,"Plant",1,1,-0.453398039618993,0,"peripheral"
"165","I",21,"Pha_sec",1,7,"Plant",6,4,2.05421036405238,0.5,"peripheral"
"166","I",22,"Rib_mag",1,6,"Plant",6,4,1.95180014589707,0.5,"peripheral"
"167","I",23,"Rib_mag",2,6,"Plant",1,0,-0.975900072948533,0,"peripheral"
"168","I",24,"Ros_rub",1,4,"Plant",11,6,1.92370941015966,0.661157024793388,"connector"
"169","I",25,"Sch_pat",1,1,"Plant",18,13,4.10589021975981,0.462962962962963,"module hub"
"170","I",26,"Sch_pat",2,1,"Plant",1,1,-0.502159235510192,0,"peripheral"
"171","I",27,"sp_1",1,5,"Plant",1,1,-0.453398039618993,0,"peripheral"
"172","I",28,"sp_2",1,5,"Plant",2,2,-0.104630316835152,0,"peripheral"
"173","I",29,"Tri_cor",1,3,"Plant",3,2,0,0.444444444444444,"peripheral"
"174","I",30,"Bom_dah",1,8,"Pol",3,1,-0.447213595499958,0.666666666666667,"connector"
